id,name,brand,category,volume_size,current_price_rsd,original_price_rsd,url_slug,image_url
237,Redken Amino-Mint Shampoo,Redken,Shampoo,300ml,3840,,prs21-amino-mint-sampon-300ml,https://www.altamoda.rs/uploads/store/products/images/prs21-amino-mint-sampon-300ml-6218bdd4a3d82.webp
238,Redken Deep Clean Dry Shampoo,Redken,Styling,155ml,4350,,rk-sty-dry-shmp-dpcln-5,https://www.altamoda.rs/uploads/store/products/images/rk-sty-dry-shmp-dpcln-5-61eab9cf9469f.webp
239,Redken Color Extend Blondage Mask,Redken,Masks,250ml,6000,,redken-color-extend-blondage-maska-250ml,https://www.altamoda.rs/uploads/store/products/images/redken-color-extend-blondage-maska-250ml-60def8d2be06f.webp
240,Redken Color Extend Blondage Conditioner,Redken,Conditioner,300ml,4530,,redken-color-extend-blondage-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/redken-color-extend-blondage-regenerator-300ml-60def8d288a6c.webp
241,Redken All Soft Conditioner,Redken,Conditioner,300ml,4260,,rk-asoft-cond-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-asoft-cond-300ml-60def8cfea835.webp
242,Redken Scalp Relief Anti-Dandruff Shampoo,Redken,Shampoo,250ml,3840,,redken-scalp-relief-sampon-protiv-peruti-250ml,https://www.altamoda.rs/uploads/store/products/images/redken-scalp-relief-sampon-protiv-peruti-250ml-643e6361736b0.webp
243,Redken Frizz Dismiss Instant Deflate Serum,Redken,Serum,125ml,4920,,redken-frizz-dismiss-instant-deflate-serum-125ml,https://www.altamoda.rs/uploads/store/products/images/redken-frizz-dismiss-instant-deflate-serum-125ml-60def8c8549e8.webp
244,Redken Frizz Dismiss Rebel Tame Cream,Redken,Styling,250ml,4920,,redken-frizz-dismiss-rabel-time-krema-250ml,https://www.altamoda.rs/uploads/store/products/images/redken-frizz-dismiss-rabel-time-krema-250ml-62d6742e60ecd.webp
245,Redken Frizz Dismiss Conditioner,Redken,Conditioner,300ml,4260,,redken-frizz-dismiss-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/redken-frizz-dismiss-regenerator-300ml-60def8c7ef1a6.webp
246,Redken Extreme Anti-Snap Treatment,Redken,Treatment,250ml,4920,,redken-extreme-anti-snap-tretman-250ml,https://www.altamoda.rs/uploads/store/products/images/redken-extreme-anti-snap-tretman-250ml-61542ca1210b3.webp
247,Redken Extreme Conditioner,Redken,Conditioner,300ml,4260,,redken-extreme-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/redken-extreme-regenerator-300ml-61542e6a10389.webp
248,Redken Volume Injection Conditioner,Redken,Conditioner,300ml,4260,,redken-volume-injection-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/redken-volume-injection-regenerator-300ml-60def8ac794dc.webp
249,Redken Volume Injection Shampoo,Redken,Shampoo,300ml,3840,,redken-volume-injection-sampon-300ml,https://www.altamoda.rs/uploads/store/products/images/redken-volume-injection-sampon-300ml-60def8abc2afd.webp
