category,ourId,ourName,reason_or_bestScore
unmatched,cmnki2gtd00al9pq3rl8192un,"Redken Color Extend Graydiant regenerator 1000ml",0.57
unmatched,cmnki2gtb00aj9pq3lklsxnr3,"Redken Color Extend Blondage regenerator 1000ml ",0.38
unmatched,cmnki2gtc00ak9pq3v3ssq86l,"Redken Color Extend Graydiant šampon 1000ml",0.57
unmatched,cmnki2gsv00a69pq3qs15fwmu,"Redken Blond Glam Nutri Developer 30 Vol (9%)",0.67
unmatched,cmnki2gth00ao9pq3h9o8qu6w,"Redken pH-Bonder Step 2 ",0.20
unmatched,cmnki2gt800ah9pq3lpqr454n,"Redken Clean Maniac regenerator 1000ml",0.57
unmatched,cmnki2h7p00oi9pq3z6vbixtd,"WELLA Koleston Perfect 4/07 60ml",0.50
unmatched,cmnki2gtk00ar9pq3y3lhhk4w,"Redken Chemistry Extreme Shot Phase1",0.33
unmatched,cmnki2gtp00av9pq370gx4pq7,"Redken Chemistry Phix Phase2 5.5 ",0.20
unmatched,cmnki2gto00au9pq39n9w3yh6,"Redken Chemistry Phix Phase2 3.5 ",0.20
unmatched,cmnki2gtu00b09pq3ziikgphd,"Redken One United - mini 30ml",0.22
unmatched,cmnki2gtr00ax9pq3zcptf6ke,"Redken All Soft šampon 300ml",0.43
unmatched,cmnki2gtt00ay9pq3k6z5g8ha,"Redken All Soft Heavy Cream maska",0.30
unmatched,cmnki2gtt00az9pq30f2sy6hn,"Redken All Soft Argan ulje",0.33
unmatched,cmnki2gtv00b19pq31vm29b0o,"Redken All Soft šampon - mini 50ml",0.57
unmatched,cmnki2gtx00b29pq37iqq08j5,"Redken All Soft regenerator - mini 30ml",0.50
unmatched,cmnki2h7q00oj9pq31xth2fc5,"WELLA Koleston Perfect 5/07 60ml",0.50
unmatched,cmnki2h7q00ok9pq31vdazqu5,"WELLA Koleston Perfect 6/07 60ml",0.50
unmatched,cmnki2gtz00b59pq3k1otbm86,"Redken High Rise Volume šampon - mini 50ml",0.44
unmatched,cmnki2gu500bb9pq3o8e9x184,"Redken Color Extend Magnetics regenerator - mini  30ml",0.30
unmatched,cmnki2gtz00b49pq3c35iilrl,"Redken Beach Envy sprej",0.43
unmatched,cmnki2gug00bm9pq3cwx50hso,"REDKEN FRIZZ DISMISS SHAMPOO  300ml",0.17
unmatched,cmnki2guh00bn9pq3qvkk6jrm,"REDKEN FRIZZ DISMISS CONDITIONER  250ml",0.38
unmatched,cmnki2h7r00ol9pq3e6mfzewc,"WELLA Koleston Perfect 7/07 60ml",0.50
unmatched,cmnki2h7s00om9pq3qh02m1rs,"WELLA Koleston Perfect 8/07 60ml",0.50
unmatched,cmnki2guc00bi9pq3dt8lwn4c,"Redken Extreme Cat",0.25
unmatched,cmnki2gua00bg9pq3bi5a04sn,"Redken Extreme Length siler",0.20
unmatched,cmnki2gu800be9pq35onwcskt,"Redken Extreme šampon 300ml",0.40
unmatched,cmnki2gu700bd9pq3kzo8kcos,"Redken Color Extend Graydiant regenerator 250ml ",0.38
unmatched,cmnki2guf00bl9pq3btjmnw1a,"Redken Extreme regenerator 30ml",0.25
unmatched,cmnki2gue00bk9pq3er1lm2nm,"Redken Extreme šampon 50ml",0.60
unmatched,cmnki2guk00bq9pq37nojc5kx,"Redken Glow Dry regenerator 250ml",0.29
unmatched,cmnki2guj00bp9pq300h5zp14,"Redken Glow Dry Gloss šampon 300ml",0.38
unmatched,cmnki2gun00bs9pq352g6csr0,"Redken Glow Dry ulje",0.33
unmatched,cmnki2gus00bx9pq3hsyhpoyj,"Redken High Rise regenerator 250ml",0.22
unmatched,cmnki2gur00bw9pq38x1eqd6n,"Redken High Rise Volume šampon 300ml",0.33
unmatched,cmnki2guq00bv9pq39ucji0ks,"Redken All Soft Mega Mega maska",0.33
unmatched,cmnki2guo00bt9pq3kkmu15ir,"Redken All Soft Mega šampon 300ml",0.38
unmatched,cmnki2gup00bu9pq390uycro5,"Redken All Soft Mega maska-kapa",0.30
unmatched,cmnki2gv100c69pq3i5tbnpfb,"Redken Curvaceous Ringlet losion",0.20
unmatched,cmnki2gv000c59pq3smvkwdgi,"Redken Curvaceous Swirl serum",0.20
unmatched,cmnki2guz00c49pq3u6tbmide,"Redken Curvaceous regenerator 250ml",0.25
unmatched,cmnki2guy00c39pq3qnezp4tv,"Redken Curvaceous šampon 300ml",0.40
unmatched,cmnki2gux00c29pq3j4q7927b,"Redken Color Extend Brownlights šampon 1000ml",0.38
unmatched,cmnki2gus00by9pq3gnhj8pp2,"Redken High Rise Volume tretman",0.22
unmatched,cmnki2gv600cb9pq3p3biig78,"REDKEN CERA DEFY DAILY SCALP TREATMENT  125ml",0.13
unmatched,cmnki2gva00cf9pq33b34x3em,"Redken Scalp Relief Dandruf Control šampon",0.20
unmatched,cmnki2gvu00cu9pq31wj81uv8,"Redken Aerate 08 krema u peni ",0.17
unmatched,cmnki2gv700cc9pq3o0nb3rcc,"Redken Cerafill Dense FX™ tretman",0.17
unmatched,cmnki2gv200c79pq3vzs1z30n,"Redken Curvaceous CCC sprej ",0.20
unmatched,cmnki2gv300c89pq3rpyzmcp5,"Redken Cerafill Defy regenerator ",0.20
